rt	x	y	v	z	s
15.027	332.11232	1588.0	21484	1	M+Na+1
15.052	333.10716	791.3	7913	1	M+Na+2
15.037	347.08392	3528.2	41694	1	M+K
15.008	348.08720	1000.6	5379	1	M+K+1
15.049	349.08442	634.2	8055	1	M+K+2
15.027	617.24233	73819.0	538005	1	2M+H
15.025	618.24756	27431.7	196468	1	2M+H+1
15.027	619.24558	11837.4	87065	1	2M+H+2
15.026	620.24328	3273.5	23164	1	2M+H+3
15.022	621.24433	954.5	6007	1	2M+H+4
15.025	639.22556	16038.1	120798	1	2M+Na
15.025	640.22635	6238.0	47276	1	2M+Na+1
15.028	641.22395	3698.6	26191	1	2M+Na+2
15.021	642.22120	986.0	7676	1	2M+Na+3
15.025	655.19804	5380.6	32080	1	2M+K
15.021	656.19955	1591.8	11326	1	2M+K+1
15.023	657.19925	1052.0	6486	1	2M+K+2
15.896	309.12740	100.0	1853152	1	M+H
15.897	310.12981	17.9	334187	1	M+H+1
15.907	311.12619	5.8	116211	1	M+H+2
15.862	312.12774	1.2	10819	1	M+H+3
15.824	313.13531	0.3	412	1	M+H+4
15.896	309.12740	128387.6	1853152	1	M+H
15.897	310.12981	22972.2	334187	1	M+H+1
15.907	311.12619	7425.6	116211	1	M+H+2
15.862	312.12774	1519.3	10819	1	M+H+3
15.824	313.13531	328.3	412	1	M+H+4
15.927	353.11783	100.0	52049516	1	M+H
15.929	354.12118	20.6	10753370	1	M+H+1
15.923	355.11748	7.2	3886781	1	M+H+2
15.922	356.11853	1.2	612512	1	M+H+3
15.922	357.11929	0.1	77132	1	M+H+4
15.938	358.11683	0.0	10619	1	M+H+5
15.933	391.07194	0.1	26519	1	M+K
15.905	392.07383	0.0	5807	1	M+K+1
15.875	393.07414	0.0	2073	1	M+K+2
15.896	705.22722	31.1	9887943	1	2M+H
15.894	706.22979	13.1	4048559	1	2M+H+1
15.893	707.22706	5.9	1826862	1	2M+H+2
15.893	708.22751	1.6	497358	1	2M+H+3
15.897	709.22765	0.4	115488	1	2M+H+4
15.893	710.22999	0.1	25701	1	2M+H+5
15.933	727.20268	0.4	198472	1	2M+Na
15.933	728.20389	0.2	88393	1	2M+Na+1
15.930	729.19597	0.1	70371	1	2M+Na+2
15.927	353.11783	3027575.5	52049516	1	M+H
15.929	354.12118	625001.4	10753370	1	M+H+1
15.923	355.11748	219474.8	3886781	1	M+H+2
15.922	356.11853	35093.4	612512	1	M+H+3
15.922	357.11929	4185.7	77132	1	M+H+4
15.938	358.11683	554.5	10619	1	M+H+5
15.933	391.07194	1724.4	26519	1	M+K
15.905	392.07383	479.5	5807	1	M+K+1
15.875	393.07414	383.8	2073	1	M+K+2
15.896	705.22722	940169.9	9887943	1	2M+H
15.894	706.22979	395861.0	4048559	1	2M+H+1
15.893	707.22706	180073.2	1826862	1	2M+H+2
15.893	708.22751	49156.8	497358	1	2M+H+3
15.897	709.22765	11168.9	115488	1	2M+H+4
15.893	710.22999	2500.1	25701	1	2M+H+5
15.933	727.20268	10661.9	198472	1	2M+Na
15.933	728.20389	5168.0	88393	1	2M+Na+1
15.930	729.19597	4004.5	70371	1	2M+Na+2
19.357	274.27470	100.0	1049686	1	M+H
19.357	275.27773	18.2	191428	1	M+H+1
19.353	276.27996	2.3	21395	1	M+H+2
19.357	274.27470	131063.8	1049686	1	M+H
19.357	275.27773	23852.5	191428	1	M+H+1
19.353	276.27996	2952.3	21395	1	M+H+2
19.847	344.11249	1.8	148205	2	M+2H
19.847	344.61187	0.7	55491	2	M+2H+1
19.860	345.11317	0.4	28526	2	M+2H+2
19.847	345.61395	0.1	6571	2	M+2H+3
19.849	687.21466	100.0	8705475	1	M+H
19.847	688.21645	41.8	3413666	1	M+H+1
19.847	689.21390	18.7	1524829	1	M+H+2
19.846	690.21437	4.9	413594	1	M+H+3
19.851	691.21309	1.2	97419	1	M+H+4
19.880	692.21559	0.2	11153	1	M+H+5
19.839	709.19299	0.9	83924	1	M+Na
19.825	710.19666	0.5	38117	1	M+Na+1
19.815	711.19299	0.2	17650	1	M+Na+2
19.837	1373.41525	2.9	154183	1	2M+H
19.842	1374.41932	2.3	141804	1	2M+H+1
19.836	1375.41787	1.5	83087	1	2M+H+2
19.841	1376.41814	0.8	42796	1	2M+H+3
19.849	1377.42162	0.3	17491	1	2M+H+4
19.828	1395.39790	0.9	46201	1	2M+Na
19.828	1396.39864	0.8	46420	1	2M+Na+1
19.823	1397.39606	0.5	29202	1	2M+Na+2
19.847	344.11249	11359.1	148205	2	M+2H
19.847	344.61187	4461.0	55491	2	M+2H+1
19.860	345.11317	2323.1	28526	2	M+2H+2
19.847	345.61395	859.8	6571	2	M+2H+3
19.849	687.21466	623730.9	8705475	1	M+H
19.847	688.21645	260545.7	3413666	1	M+H+1
19.847	689.21390	116690.1	1524829	1	M+H+2
19.846	690.21437	30806.4	413594	1	M+H+3
19.851	691.21309	7189.7	97419	1	M+H+4
19.880	692.21559	1549.4	11153	1	M+H+5
19.839	709.19299	5498.8	83924	1	M+Na
19.825	710.19666	2834.5	38117	1	M+Na+1
19.815	711.19299	1331.5	17650	1	M+Na+2
19.837	1373.41525	17811.5	154183	1	2M+H
19.842	1374.41932	14544.5	141804	1	2M+H+1
19.836	1375.41787	9467.5	83087	1	2M+H+2
19.841	1376.41814	4791.3	42796	1	2M+H+3
19.849	1377.42162	2035.4	17491	1	2M+H+4
19.828	1395.39790	5533.8	46201	1	2M+Na
19.828	1396.39864	5162.9	46420	1	2M+Na+1
19.823	1397.39606	3188.9	29202	1	2M+Na+2
20.048	528.18026	100.0	1856353	1	M+H
20.046	529.18357	30.3	569608	1	M+H+1
20.059	530.18211	10.1	147101	1	M+H+2
20.048	531.18321	2.3	40771	1	M+H+3
20.049	532.18667	0.4	6468	1	M+H+4
20.061	550.16115	8.7	146456	1	M+Na
20.059	551.16421	2.7	48733	1	M+Na+1
20.053	552.16117	0.9	17712	1	M+Na+2
20.077	553.16254	0.3	3479	1	M+Na+3
20.059	1055.35029	6.8	67591	1	2M+H
20.059	1056.35377	4.3	44206	1	2M+H+1
20.054	1057.35131	2.1	25247	1	2M+H+2
20.054	1077.32947	4.0	48311	1	2M+Na
20.055	1078.33227	2.8	29218	1	2M+Na+1
20.054	1079.32641	1.7	17441	1	2M+Na+2
20.048	528.18026	143958.1	1856353	1	M+H
20.046	529.18357	43553.8	569608	1	M+H+1
20.059	530.18211	14560.8	147101	1	M+H+2
20.048	531.18321	3258.3	40771	1	M+H+3
20.049	532.18667	576.7	6468	1	M+H+4
20.061	550.16115	12460.8	146456	1	M+Na
20.059	551.16421	3862.6	48733	1	M+Na+1
20.053	552.16117	1336.3	17712	1	M+Na+2
20.077	553.16254	418.7	3479	1	M+Na+3
20.059	1055.35029	9777.4	67591	1	2M+H
20.059	1056.35377	6158.3	44206	1	2M+H+1
20.054	1057.35131	3020.9	25247	1	2M+H+2
20.054	1077.32947	5733.2	48311	1	2M+Na
20.055	1078.33227	3968.8	29218	1	2M+Na+1
20.054	1079.32641	2464.2	17441	1	2M+Na+2
20.065	687.21465	100.0	509292	1	M+H
19.990	1373.41571	2.8	12335	1	2M+H
20.065	687.21465	161453.1	509292	1	M+H
19.990	1373.41571	4450.6	12335	1	2M+H
20.373	687.21746	100.0	3201599	1	M+H
20.373	688.21985	38.4	1218060	1	M+H+1
20.376	689.21692	16.8	577071	1	M+H+2
20.373	690.21786	4.8	148264	1	M+H+3
20.376	691.21542	1.1	34650	1	M+H+4
20.369	692.21758	0.2	4935	1	M+H+5
20.373	1373.42400	1.7	44009	1	2M+H
20.374	1374.42641	1.5	40089	1	2M+H+1
20.373	1375.42505	1.0	26020	1	2M+H+2
20.377	1376.42430	0.4	9673	1	2M+H+3
20.373	687.21746	463535.0	3201599	1	M+H
20.373	688.21985	177949.3	1218060	1	M+H+1
20.376	689.21692	77921.9	577071	1	M+H+2
20.373	690.21786	22465.3	148264	1	M+H+3
20.376	691.21542	4913.4	34650	1	M+H+4
20.369	692.21758	1033.8	4935	1	M+H+5
20.373	1373.42400	7849.1	44009	1	2M+H
20.374	1374.42641	7136.6	40089	1	2M+H+1
20.373	1375.42505	4507.3	26020	1	2M+H+2
20.377	1376.42430	1956.8	9673	1	2M+H+3
20.708	344.11322	0.8	26672	2	M+2H
20.722	344.61345	0.3	10760	2	M+2H+1
20.713	345.11335	0.2	6727	2	M+2H+2
20.851	687.21543	100.0	10858819	1	M+H
20.861	688.21772	37.5	4072722	1	M+H+1
20.858	689.21520	17.0	1782806	1	M+H+2
20.838	690.21661	4.5	495615	1	M+H+3
20.871	691.21399	1.1	102735	1	M+H+4
20.809	1373.41779	1.1	29314	1	2M+H
20.807	1374.42362	0.9	26349	1	2M+H+1
20.813	1375.41650	0.6	14979	1	2M+H+2
20.708	344.11322	3100.1	26672	2	M+2H
20.722	344.61345	1140.3	10760	2	M+2H+1
20.713	345.11335	696.0	6727	2	M+2H+2
20.851	687.21543	399984.8	10858819	1	M+H
20.861	688.21772	150124.4	4072722	1	M+H+1
20.858	689.21520	68024.4	1782806	1	M+H+2
20.838	690.21661	17994.5	495615	1	M+H+3
20.871	691.21399	4361.2	102735	1	M+H+4
20.809	1373.41779	4439.6	29314	1	2M+H
20.807	1374.42362	3511.8	26349	1	2M+H+1
20.813	1375.41650	2263.6	14979	1	2M+H+2
22.367	687.21320	100.0	2708859	1	M+H
22.366	688.21587	37.3	1015772	1	M+H+1
22.365	689.21469	17.2	455731	1	M+H+2
22.366	690.21443	4.8	129654	1	M+H+3
22.375	691.21458	1.5	34658	1	M+H+4
22.390	692.21466	0.3	4768	1	M+H+5
22.362	1373.41846	1.3	26551	1	2M+H
22.353	1374.41977	1.3	21749	1	2M+H+1
22.355	1375.41954	1.0	16759	1	2M+H+2
22.328	1376.42080	0.5	6057	1	2M+H+3
22.367	687.21320	160905.7	2708859	1	M+H
22.366	688.21587	60025.6	1015772	1	M+H+1
22.365	689.21469	27720.7	455731	1	M+H+2
22.366	690.21443	7730.8	129654	1	M+H+3
22.375	691.21458	2429.4	34658	1	M+H+4
22.390	692.21466	491.2	4768	1	M+H+5
22.362	1373.41846	2059.1	26551	1	2M+H
22.353	1374.41977	2165.1	21749	1	2M+H+1
22.355	1375.41954	1543.0	16759	1	2M+H+2
22.328	1376.42080	758.7	6057	1	2M+H+3
32.671	448.29195	100.0	1596920	1	M+H
32.670	449.29452	24.0	398800	1	M+H+1
32.670	450.29721	5.1	77195	1	M+H+2
32.665	451.30544	0.8	13265	1	M+H+3
32.671	448.29195	159195.6	1596920	1	M+H
32.670	449.29452	38131.3	398800	1	M+H+1
32.670	450.29721	8149.5	77195	1	M+H+2
32.665	451.30544	1294.6	13265	1	M+H+3
